SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D20622D14	90029	54177	0	0	0	0	26516403	0	0	0	0	0	0	4954154	0
D20622D167	16779	83748	0	0	0	0	39089837	0	0	0	0	0	0	4796806	9808
D20622D20	193139	129279	0	0	0	0	33567640	0	10662	0	0	0	0	11498390	14789
D20622D25	29333	98279	0	0	0	0	465570	0	0	19798612	0	0	0	18728913	0
D20622D276	21801	65497	0	0	0	0	42086205	0	5204	0	0	0	0	4040012	12062
D20622D28	2751120	12113	0	0	0	0	32218275	0	0	9402576	0	0	0	4331103	0
D20622D32	41542	10737793	0	0	0	0	27789849	0	0	2001589	0	0	0	2776182	10058
D20622D64	693315	75177	9707	0	0	0	117377689	0	0	45421379	0	0	0	24342194	14054
D20622D7	58471	83617	0	0	0	0	38455165	0	0	0	0	0	0	6981362	13337
D20622D90	3381658	107860	0	0	0	0	44234836	0	0	4749483	0	0	0	3350784	9028
D20622PRE	527582	98657	0	0	0	0	33337929	0	0	235384	0	0	0	6445568	3929596
D20653D103	165900	1167005	0	0	0	0	38521408	0	0	830309	0	288733	0	6801323	0
D20653D12	1345550	8664388	0	0	0	0	6252118	9555	0	200501	0	0	0	4026250	0
D20653D22	80437	69558	5213	0	0	0	2142368	0	0	40076	0	0	0	1017159	20538
D20653D29	89248	395322	0	0	0	0	26150481	0	0	20975	0	0	0	1136893	17958
D20653D7	274904	83603	6941	0	0	0	39405942	6714	0	18554	0	0	0	7022553	13392
D20653PRE	74639	34855	0	0	0	0	53909490	0	0	0	0	0	0	2092753	10369
D20726D0	122193	99006	6342	0	1699	0	35420625	24010	6152	50043	0	0	0	12777424	0
D20726D174	95863	106094	0	0	0	0	4311013	0	0	29228806	0	0	0	16354576	0
D20726D28	119243	61480	0	0	0	0	35772249	0	0	629281	0	0	0	6406241	18000
D20726D366	514790	48481	0	0	0	0	50444533	0	0	78710	0	0	0	2955173	13276
D20726D62	47261	57661	0	0	0	0	61263716	0	0	2942918	0	0	0	14503099	21099
D20726D97	38928	29327	0	0	0	0	15369098	0	0	9519780	0	0	0	11292956	0
D20726PRE	1266569	86526	0	0	0	0	49572996	0	0	779541	0	0	0	7746916	13975
D20784D113	176643	4429416	0	0	0	0	37312602	0	0	0	0	0	0	10301713	5431899
D20784D12	16894	29610257	0	0	0	0	4969047	0	0	0	0	0	0	7734401	10498
D20784D171	71672	5446385	0	0	0	0	47049528	0	0	548249	0	0	0	8838597	9178162
D20784D24	16668	9007475	0	0	0	0	26524707	0	0	5666072	0	0	0	4256862	9765
D20784D61	3947	8890961	0	0	0	0	32867756	0	0	4080489	0	0	0	4639439	11649
D20784D7	48492	10441534	0	0	0	0	43244089	0	0	24332	0	0	0	5167635	18449
D20784D89	35110	240120	0	0	0	0	36099375	0	0	0	0	0	0	4183738	8488744
D20784PRE	3299062	4735653	0	0	0	0	35567161	0	0	39366	0	0	7525	7814408	16045
D20923D15	306252	18040580	0	0	5022	0	22830843	0	0	7340083	0	0	0	6672931	21858
D20923D22	1578353	9855947	0	0	17409	0	27103281	0	0	3446791	0	0	0	1816801	15066
D20923D8	577668	15934633	0	0	0	0	9379957	0	0	22167277	0	0	0	6519475	0
D20923D98	422330	19501407	7927	0	0	0	19852636	10169	0	210619	0	0	0	5255056	10274
